2019-04-09 15:59:40] - INFO : +-------+------------+----------+----------+--------+--------+--------+--------+--------+---------------------------------------------------------------------------+
[2019-04-09 15:59:40] - INFO : |   24  |   0.7291   |  0.6465  |  0.5069  | 0.8556 | 0.6372 | 0.7332 | 0.7993 | 0.6204 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_24_mIOU_0.7291.pth |
[2019-04-09 15:59:40] - INFO : |   25  |   0.7298   |  0.6480  |  0.5081  | 0.8562 | 0.6379 | 0.7301 | 0.7981 | 0.6266 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_25_mIOU_0.7298.pth |
[2019-04-09 15:59:40] - INFO : |   26  |   0.7320   |  0.6482  |  0.5092  | 0.8628 | 0.6390 | 0.7288 | 0.8027 | 0.6265 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_26_mIOU_0.7320.pth |
[2019-04-09 15:59:40] - INFO : |   27  | 0.7325 (*) |  0.6487  |  0.5097  | 0.8620 | 0.6402 | 0.7307 | 0.8029 | 0.6266 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_27_mIOU_0.7325.pth |
[2019-04-09 15:59:40] - INFO : |   28  |   0.7310   |  0.6484  |  0.5090  | 0.8633 | 0.6394 | 0.7270 | 0.7982 | 0.6270 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_28_mIOU_0.7310.pth |
[2019-04-09 15:59:40] - INFO : |   29  |   0.7298   |  0.6480  |  0.5086  | 0.8635 | 0.6357 | 0.7264 | 0.7970 | 0.6264 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_29_mIOU_0.7298.pth |
[2019-04-09 15:59:40] - INFO : |   30  |   0.7301   |  0.6481  |  0.5088  | 0.8635 | 0.6372 | 0.7242 | 0.7989 | 0.6266 | work_dir/CascadeRCNN/ResNet/normal_may_not_mixup/epoch_30_mIOU_0.7301.pth |
[2019-04-09 15:59:40] - INFO : +-------+------------+----------+----------+--------+--------+--------+--------+--------+---------------------------------------------------------------------------+



with_round1_normal_and_train(0.7318)
[2019-04-11 07:01:30] - INFO : +-------+------------+----------+----------+--------+--------+--------+--------+--------+-----------------------------------------------------------------------------------+
[2019-04-11 07:01:30] - INFO : | epoch |    mIOU    | bbox_mAP | segm_mAP |   1    |   2    |   3    |   4    |   5    |                                         fp                                        |
[2019-04-11 07:01:30] - INFO : +-------+------------+----------+----------+--------+--------+--------+--------+--------+-----------------------------------------------------------------------------------+
[2019-04-11 07:01:30] - INFO : |   1   |   0.3914   |  0.4450  |  0.3272  | 0.3829 | 0.4005 | 0.4059 | 0.4503 | 0.3176 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_1_mIOU_0.3914.pth |
[2019-04-11 07:01:30] - INFO : |   2   |   0.4833   |  0.5079  |  0.3740  | 0.4464 | 0.5260 | 0.5101 | 0.5629 | 0.3711 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_2_mIOU_0.4833.pth |
[2019-04-11 07:01:30] - INFO : |   3   |   0.4976   |  0.5249  |  0.3878  | 0.7017 | 0.5298 | 0.4949 | 0.3806 | 0.3811 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_3_mIOU_0.4976.pth |
[2019-04-11 07:01:30] - INFO : |   4   |   0.5666   |  0.5564  |  0.4182  | 0.7167 | 0.5770 | 0.5778 | 0.5247 | 0.4366 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_4_mIOU_0.5666.pth |
[2019-04-11 07:01:30] - INFO : |   5   |   0.5036   |  0.5457  |  0.4077  | 0.5375 | 0.5313 | 0.4938 | 0.5545 | 0.4010 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_5_mIOU_0.5036.pth |
[2019-04-11 07:01:30] - INFO : |   6   |   0.5621   |  0.5857  |  0.4274  | 0.7147 | 0.5573 | 0.5729 | 0.4727 | 0.4928 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_6_mIOU_0.5621.pth |
